book_rating,book_title,kindle_price
4.7 out of 5 stars,"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture",$15.99
4.6 out of 5 stars,Ordinary Grace: A Novel,$1.99
4.5 out of 5 stars,Pen Pal,$0.00
4.7 out of 5 stars,Astral Threads (Guardian of Aster Fall Book 4),$0.00
4.6 out of 5 stars,Maybe Now: A Novel (Maybe Someday Book 3),$13.99
4.2 out of 5 stars,Klara and the Sun: A novel,$13.99
4.2 out of 5 stars,The American Roommate Experiment: A Novel,$9.99
4.5 out of 5 stars,Consider Me (Playing For Keeps Book 1),$0.00
4.6 out of 5 stars,Hopeless,$11.99
4.7 out of 5 stars,Dune,$9.99
4.4 out of 5 stars,The Golden Couple: A Novel,$14.99
4.6 out of 5 stars,A Little Too Close (Madigan Mountain),$4.99
4.8 out of 5 stars,Kingdom of Ash (Throne of Glass Book 7),$7.76
4.2 out of 5 stars,Upgrade: A Novel,$14.99
4.7 out of 5 stars,A Shadow in the Ember (Flesh and Fire Book 1),$7.99
4.8 out of 5 stars,Harry Potter and the Order of the Phoenix,$0.00
4.4 out of 5 stars,The Last Dragon King: Kings of Avalier,$0.00
4.8 out of 5 stars,Oathbringer: Book Three of the Stormlight Archive,$9.99
4.2 out of 5 stars,Endless Summer: Stories from Days That Last Forever,$14.99
4.3 out of 5 stars,City Dark: A Thriller,$0.00
4.4 out of 5 stars,My Grumpy Billionaire,$0.00
4.7 out of 5 stars,Dinners with Ruth: A Memoir on the Power of Friendships,$14.99
4.5 out of 5 stars,Twisted Lies: A Fake Dating Romance,$0.00
4.7 out of 5 stars,Home Sweet Christmas: A Holiday Romance Novel,$12.99
4.6 out of 5 stars,Last on the List: A Single Dad Boss Romance,$0.00
4.5 out of 5 stars,Robert B. Parker's Fallout (A Jesse Stone Novel Book 21),$14.99
4.7 out of 5 stars,Starry Messenger: Cosmic Perspectives on Civilization,$14.99
4.4 out of 5 stars,The Bookstore Sisters: A Short Story,$1.99
4.7 out of 5 stars,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",$9.99
4.6 out of 5 stars,A Soul to Heal: Duskwalker Brides: Book Two,$0.00
